,name,imdb_rating,meta_score,n_imdb
0, Joker ,8.5,59.0,85.0
1, Avengers: Endgame ,8.4,78.0,84.0
2, Once Upon a Time,7.7,83.0,77.0
4, Captain Marvel ,6.9,64.0,69.0
5, Parasite ,8.6,96.0,86.0
6, Star Wars: The Rise Of Skywalker ,6.7,53.0,67.0
7, 1917 ,8.3,78.0,83.0
8, Knives Out ,7.9,82.0,79.0
9, Spider-Man: Far From Home ,7.5,69.0,75.0
10, The Irishman ,7.9,94.0,79.0
12, John Wick: Chapter 3 - Parabellum ,7.5,73.0,75.0
13, Shazam! ,7.1,71.0,71.0
15, Ford v Ferrari ,8.1,81.0,81.0
16, Marriage Story ,8.0,94.0,80.0
17, Jojo Rabbit ,7.9,58.0,79.0
18, Alita: Battle Angel ,7.3,53.0,73.0
19, Aladdin ,7.0,53.0,70.0
21, Us ,6.9,81.0,69.0
22, Glass ,6.7,43.0,67.0
23, The Lion King ,6.9,55.0,69.0
25, Toy Story 4 ,7.8,84.0,78.0
26, It: Chapter Two ,6.6,58.0,66.0
28, Ad Astra ,6.6,80.0,66.0
29, El Camino: A Breaking Bad Movie ,7.4,72.0,74.0
30, Uncut Gems ,7.5,90.0,75.0
32, Midsommar ,7.1,72.0,71.0
33, Fast & Furious Presents: Hobbs & Shaw ,6.5,60.0,65.0
35, Jumanji: The Next Level ,6.7,58.0,67.0
36, X-Men: Dark Phoenix ,5.8,43.0,58.0
38, The Gentlemen ,7.9,51.0,79.0
39, Detective Pikachu ,6.6,53.0,66.0
42, 6 Underground ,6.1,41.0,61.0
43, Godzilla: King of the Monsters ,6.1,48.0,61.0
44, Terminator: Dark Fate ,6.3,54.0,63.0
45, El hoyo ,7.0,73.0,70.0
46, Rocketman ,7.3,69.0,73.0
47, Zombieland 2: Double Tap ,6.8,55.0,68.0
48, Frozen 2 ,7.0,64.0,70.0
49, Stephen King's Doctor Sleep ,7.4,59.0,74.0
